model,coeff.name,pa,pe,coeff.val,coeff.se,conf.int,p.value,w.name
Cheaper,Conger's Kappa,0.8593128747795414,0.49957519866474537,0.71886,0.00509,"(0.709,0.729)",0,unweighted
Cheaper,Fleiss' Kappa,0.8593128747795414,0.5000172668801143,0.71862,0.00511,"(0.709,0.729)",0,unweighted
Cheaper,AC1,0.8593128747795414,0.49998273311995123,0.71864,0.00511,"(0.709,0.729)",0,unweighted
Cheaper,Brennan-Prediger,0.8593128747795414,0.5,0.71863,0.00511,"(0.709,0.729)",0,unweighted
Cheaper,Krippendorff's Alpha,0.8637176960542498,0.500000271242963,0.72744,0.005,"(0.718,0.737)",0,unweighted
Expensive,Conger's Kappa,0.866241975308642,0.4995108168720458,0.73275,0.00499,"(0.723,0.743)",0,unweighted
Expensive,Fleiss' Kappa,0.866241975308642,0.5000011417284574,0.73248,0.00501,"(0.723,0.742)",0,unweighted
Expensive,AC1,0.866241975308642,0.49999885827160495,0.73248,0.00501,"(0.723,0.742)",0,unweighted
Expensive,Brennan-Prediger,0.866241975308642,0.5,0.73248,0.00501,"(0.723,0.742)",0,unweighted
Expensive,Krippendorff's Alpha,0.8693541117222501,0.5000090321167172,0.7387,0.00492,"(0.729,0.748)",0,unweighted
